group_id,question_title,url,answer_count,date_asked,group_representative,group_count,canonical_overlap,canonical_question_matched,similarity_score
12,Virtual machine server published with custom ports is not reachable from internet,https://learn.microsoft.com/en-us/answers/questions/5762996/virtual-machine-server-published-with-custom-ports,0,,Virtual machine server published with custom ports is not reachable from internet,1,,,0
13,Azure Load Balancer: SourceIP Session Persistence Not Working Across Multiple Ports for FTP Passive Mode,https://learn.microsoft.com/en-us/answers/questions/5767220/azure-load-balancer-sourceip-session-persistence-n,0,,Azure Load Balancer: SourceIP Session Persistence Not Working Across Multiple Ports for FTP Passive Mode,1,,,0
14,I Can't create Azure Load Balancer,https://learn.microsoft.com/en-us/answers/questions/5760876/i-cant-create-azure-load-balancer,0,,I Can't create Azure Load Balancer,2,,,0
15,"VM is working, health check is Ok but getting 502 on the URL, there are 4 VMs only 1 is working fine.",https://learn.microsoft.com/en-us/answers/questions/5747830/vm-is-working-health-check-is-ok-but-getting-502-o,0,,"VM is working, health check is Ok but getting 502 on the URL, there are 4 VMs only 1 is working fine.",1,,,0
16,Retirement Announcement - Basic Load Balancer will be retired on 30 September 2025,https://learn.microsoft.com/en-us/answers/questions/1033471/retirement-announcement-basic-load-balancer-will-b,0,,Retirement Announcement - Basic Load Balancer will be retired on 30 September 2025,2,,,0
17,Unable to update the Public IP on NAT rules for an existing LoadBalancer,https://learn.microsoft.com/en-us/answers/questions/5701980/unable-to-update-the-public-ip-on-nat-rules-for-an,0,,Unable to update the Public IP on NAT rules for an existing LoadBalancer,1,,,0
18,Urgent need to delete the resource group that is generating costs,https://learn.microsoft.com/en-us/answers/questions/5653955/urgent-need-to-delete-the-resource-group-that-is-g,0,,Urgent need to delete the resource group that is generating costs,1,,,0
19,How can I preserve or use the Azure Internal Load Balancer frontend IP for outbound or return traffic from its backend VMs ?,https://learn.microsoft.com/en-us/answers/questions/5641324/how-can-i-preserve-or-use-the-azure-internal-load,0,,How can I preserve or use the Azure Internal Load Balancer frontend IP for outbound or return traffic from its backend VMs ?,1,,,0
20,Failed to distribute content to CMG from SCCM,https://learn.microsoft.com/en-us/answers/questions/5646241/failed-to-distribute-content-to-cmg-from-sccm,0,,Failed to distribute content to CMG from SCCM,1,,,0
21,Choosing load balancer,https://learn.microsoft.com/en-us/answers/questions/5626660/choosing-load-balancer,0,,Load Balancing,3,,,0
22,APIM not able to connect to Load Balancer even though they all are on the Public IP,https://learn.microsoft.com/en-us/answers/questions/5625747/apim-not-able-to-connect-to-load-balancer-even-tho,0,,APIM not able to connect to Load Balancer even though they all are on the Public IP,1,,,0
23,Range of ports to be open,https://learn.microsoft.com/en-us/answers/questions/5571809/range-of-ports-to-be-open,0,,Range of ports to be open,1,,,0
24,Load balancer status is Degraded (Unplanned),https://learn.microsoft.com/en-us/answers/questions/5615824/load-balancer-status-is-degraded-(unplanned),0,,Load balancer status is Degraded (Unplanned),1,,,0
25,Azure load balancer & F5 load balancer are same ?,https://learn.microsoft.com/en-us/answers/questions/5592520/azure-load-balancer-f5-load-balancer-are-same,0,,Azure load balancer & F5 load balancer are same ?,1,,,0
26,Taffic flow through public Load balancer,https://learn.microsoft.com/en-us/answers/questions/5583249/taffic-flow-through-public-load-balancer,0,,Taffic flow through public Load balancer,1,,,0
27,"Azure LoadBalancer port 443 timing out for YARP service, while 8080 and /health endpoint work fine",https://learn.microsoft.com/en-us/answers/questions/5583046/azure-loadbalancer-port-443-timing-out-for-yarp-se,0,,"Azure LoadBalancer port 443 timing out for YARP service, while 8080 and /health endpoint work fine",1,,,0
28,Azure Public load balancer packet forwarding to NVA or performing any kind of Source NAT or D-NAT,https://learn.microsoft.com/en-us/answers/questions/5516122/azure-public-load-balancer-packet-forwarding-to-nv,0,,Azure Public load balancer packet forwarding to NVA or performing any kind of Source NAT or D-NAT,1,,,0
29,Azure Basic Load Balancer will be retired on 30 September 2025âupgrade to Standard Load Balancer,https://learn.microsoft.com/en-us/answers/questions/5570252/azure-basic-load-balancer-will-be-retired-on-30-se,0,,Azure Basic Load Balancer will be retired on 30 September 2025âupgrade to Standard Load Balancer,1,,,0
30,need to upgrade the load balancer from Basic SKU to Standard SKU in azure portal kindly share me the steps to do it,https://learn.microsoft.com/en-us/answers/questions/5564987/need-to-upgrade-the-load-balancer-from-basic-sku-t,0,,need to upgrade the load balancer from Basic SKU to Standard SKU in azure portal kindly share me the steps to do it,1,,,0
31,How to recover failed upgrade of basic LBs with shared backend pools,https://learn.microsoft.com/en-us/answers/questions/5570342/how-to-recover-failed-upgrade-of-basic-lbs-with-sh,0,,How to recover failed upgrade of basic LBs with shared backend pools,1,,,0
32,Azure ADDS Inbound NAT Rule upgrade in Load Balancer,https://learn.microsoft.com/en-us/answers/questions/5569650/azure-adds-inbound-nat-rule-upgrade-in-load-balanc,0,,Azure ADDS Inbound NAT Rule upgrade in Load Balancer,1,,,0
33,Extend Basic Load Balancer by one week,https://learn.microsoft.com/en-us/answers/questions/5569356/extend-basic-load-balancer-by-one-week,0,,Extend Basic Load Balancer by one week,1,,,0
34,Basic SKU Load balancers and Public IP address associated with VM,https://learn.microsoft.com/en-us/answers/questions/5565363/basic-sku-load-balancers-and-public-ip-address-ass,0,,Basic SKU Load balancers and Public IP address associated with VM,1,,,0
35,Upgrade to Standard SKU public IP address,https://learn.microsoft.com/en-us/answers/questions/5566712/upgrade-to-standard-sku-public-ip-address,0,,Upgrade to Standard SKU public IP address,2,,,0
36,Upgrading Basic Loadbalancers with VMs with and without PIP,https://learn.microsoft.com/en-us/answers/questions/5565783/upgrading-basic-loadbalancers-with-vms-with-and-wi,0,,Upgrading Basic Loadbalancers with VMs with and without PIP,1,,,0
37,Redirect incomming traffic on Azure LB and F5 Big IP,https://learn.microsoft.com/en-us/answers/questions/5558252/redirect-incomming-traffic-on-azure-lb-and-f5-big,0,,Redirect incomming traffic on Azure LB and F5 Big IP,1,,,0
38,Upgrade load balancer Basic to Standard SKU,https://learn.microsoft.com/en-us/answers/questions/5559926/upgrade-load-balancer-basic-to-standard-sku,0,,Upgrade classic Load balancer to standard,3,,,0
39,"Please upgrade the Azure public IP addresses from Basic SKU to Standard SKU by September 30, 2025",https://learn.microsoft.com/en-us/answers/questions/5552664/please-upgrade-the-azure-public-ip-addresses-from,0,,"Please upgrade the Azure public IP addresses from Basic SKU to Standard SKU by September 30, 2025",1,,,0
40,At what scope/s Network Contributor Role is needed to add backend vms to a Load Balancer,https://learn.microsoft.com/en-us/answers/questions/1338687/at-what-scope-s-network-contributor-role-is-needed,0,,At what scope/s Network Contributor Role is needed to add backend vms to a Load Balancer,1,,,0
41,How to fix this health probe should send 200 OK result in LB backend health status,https://learn.microsoft.com/en-us/answers/questions/5541014/how-to-fix-this-health-probe-should-send-200-ok-re,0,,How to fix this health probe should send 200 OK result in LB backend health status,1,,,0
42,Basic SKU IP Address for classic load balancer migration process,https://learn.microsoft.com/en-us/answers/questions/5534323/basic-sku-ip-address-for-classic-load-balancer-mig,0,,Basic SKU IP Address for classic load balancer migration process,1,,,0
43,How to access both VM and blob storage account securely without using Public IPs from the internet,https://learn.microsoft.com/en-us/answers/questions/1685009/how-to-access-both-vm-and-blob-storage-account-sec,0,,How to access both VM and blob storage account securely without using Public IPs from the internet,1,,,0
44,"ERR_CONNECTION_TIMED_OUT after upgrade from a basic public to standard public load balancer, IP, VMSS.",https://learn.microsoft.com/en-us/answers/questions/5537727/err-connection-timed-out-after-upgrade-from-a-basi,0,,ERR_CONNECTION_TIMED_OUT after upgrade from a basic public to standard public load balancer,2,,,0
45,Impact of Basic Load Balancer and Public IP Retirement,https://learn.microsoft.com/en-us/answers/questions/5531006/impact-of-basic-load-balancer-and-public-ip-retire,0,,Impact of Basic Load Balancer and Public IP Retirement,1,,,0
46,will my Azure load balancer on basic sku stop working on 09/30/2025,https://learn.microsoft.com/en-us/answers/questions/5524624/will-my-azure-load-balancer-on-basic-sku-stop-work,0,,will my Azure load balancer on basic sku stop working on 09/30/2025,1,,,0
47,Azure Load Balancer not following outbound rules,https://learn.microsoft.com/en-us/answers/questions/5521593/azure-load-balancer-not-following-outbound-rules,0,,Azure Load Balancer not following outbound rules,1,,,0
48,Azure Public Load Balancer to Private Container Apps via UDP MQTT protocol,https://learn.microsoft.com/en-us/answers/questions/5523249/azure-public-load-balancer-to-private-container-ap,0,,Azure Public Load Balancer to Private Container Apps via UDP MQTT protocol,1,,,0
49,Firewall NAT 1:1 for inbound and outbound,https://learn.microsoft.com/en-us/answers/questions/5520920/firewall-nat-1-1-for-inbound-and-outbound,0,,Firewall NAT 1:1 for inbound and outbound,1,,,0
50,AKS public LB NSG rule: can we restrict to LB IP? Why do we need a broad manual allow?,https://learn.microsoft.com/en-us/answers/questions/5523876/aks-public-lb-nsg-rule-can-we-restrict-to-lb-ip-wh,0,,AKS public LB NSG rule: can we restrict to LB IP? Why do we need a broad manual allow?,1,,,0
51,Azure Basic Load Balancer retirement,https://learn.microsoft.com/en-us/answers/questions/5521077/azure-basic-load-balancer-retirement,0,,Basic Load Balancer Migration,4,,,0
52,Application Gateway Load Balancer,https://learn.microsoft.com/en-us/answers/questions/5495956/application-gateway-load-balancer,0,,Azure Gateway Load Balancer,3,,,0
53,Outbound traffic via GWLB,https://learn.microsoft.com/en-us/answers/questions/5516235/outbound-traffic-via-gwlb,0,,Outbound traffic via GWLB,1,,,0
54,About AzureLB Deployment,https://learn.microsoft.com/en-us/answers/questions/5508268/about-azurelb-deployment,0,,About AzureLB Deployment,1,,,0
55,can not delete load balancer.,https://learn.microsoft.com/en-us/answers/questions/5512478/can-not-delete-load-balancer,0,,can not delete load balancer.,1,,,0
56,ACI not supported by Azure Load Balancer in the backend Pool,https://learn.microsoft.com/en-us/answers/questions/5495725/aci-not-supported-by-azure-load-balancer-in-the-ba,0,,ACI not supported by Azure Load Balancer in the backend Pool,1,,,0
57,Problem with LB upon upgrade to Standard from Basic,https://learn.microsoft.com/en-us/answers/questions/5508615/problem-with-lb-upon-upgrade-to-standard-from-basi,0,,Problem with LB upon upgrade to Standard from Basic,1,,,0
58,How to configure and troubleshoot Azure load balancer,https://learn.microsoft.com/en-us/answers/questions/4377236/how-to-configure-and-troubleshoot-azure-load-balan,0,,How to configure and troubleshoot Azure load balancer,1,,,0
59,Firewall and Load Balancer using a GWLB (2 NVAs),https://learn.microsoft.com/en-us/answers/questions/4761754/firewall-and-load-balancer-using-a-gwlb-(2-nvas),0,,Firewall and Load Balancer using a GWLB (2 NVAs),1,,,0
60,Cannot access my services after upgrade from basic to standard load balancer via PowerShell,https://learn.microsoft.com/en-us/answers/questions/5489013/cannot-access-my-services-after-upgrade-from-basic,0,,Cannot access my services after upgrade from basic to standard load balancer via PowerShell,1,,,0
38,Upgrading Load Balancer from Basic to Standard SKU,https://learn.microsoft.com/en-us/answers/questions/4375236/upgrading-load-balancer-from-basic-to-standard-sku,0,,Upgrade classic Load balancer to standard,3,,,0
38,Upgrade classic Load balancer to standard,https://learn.microsoft.com/en-us/answers/questions/2224539/upgrade-classic-load-balancer-to-standard,0,,Upgrade classic Load balancer to standard,3,,,0
61,Azure Public LB traffic flow,https://learn.microsoft.com/en-us/answers/questions/2287668/azure-public-lb-traffic-flow,0,,Azure Public LB traffic flow,1,,,0
62,What is the recommended load balancing strategy for Azure Container Apps handling image-based workflows with regional failover?,https://learn.microsoft.com/en-us/answers/questions/2282777/what-is-the-recommended-load-balancing-strategy-fo,0,,What is the recommended load balancing strategy for Azure Container Apps handling image-based workflows with regional failover?,1,,,0
63,Can I add VMs in Standard Availability Set to the backend pool of the Load Balancer in Basic SKU,https://learn.microsoft.com/en-us/answers/questions/2284346/can-i-add-vms-in-standard-availability-set-to-the,0,,Can I add VMs in Standard Availability Set to the backend pool of the Load Balancer in Basic SKU,1,,,0
64,Best Load Balancer Option for Container Apps with Autoscaling,https://learn.microsoft.com/en-us/answers/questions/2239077/best-load-balancer-option-for-container-apps-with,0,,Best Load Balancer Option for Container Apps with Autoscaling,1,,,0
65,Azure Load Balancer Set traffic priority for VM1,https://learn.microsoft.com/en-us/answers/questions/2280730/azure-load-balancer-set-traffic-priority-for-vm1,0,,Azure Load Balancer Set traffic priority for VM1,1,,,0
66,Basic SKU load balancer migration backout plan,https://learn.microsoft.com/en-us/answers/questions/2281518/basic-sku-load-balancer-migration-backout-plan,0,,Basic SKU load balancer migration backout plan,1,,,0
67,How can I Integrate Azure Firewall with Azure Standard Load Balancer for Enhanced Security and Traffic Visibility,https://learn.microsoft.com/en-us/answers/questions/2277885/how-can-i-integrate-azure-firewall-with-azure-stan,0,,How can I Integrate Azure Firewall with Azure Standard Load Balancer for Enhanced Security and Traffic Visibility,1,,,0
68,Upgrade existing LCS / D365 machines to Standard Public IP SKUs,https://learn.microsoft.com/en-us/answers/questions/2265441/upgrade-existing-lcs-d365-machines-to-standard-pub,0,,Upgrade existing LCS / D365 machines to Standard Public IP SKUs,1,,,0
69,Replacing public IP with hostname for sites which configured using load balancer,https://learn.microsoft.com/en-us/answers/questions/2275707/replacing-public-ip-with-hostname-for-sites-which,0,,Replacing public IP with hostname for sites which configured using load balancer,1,,,0
70,Request always going to second server in load balancer,https://learn.microsoft.com/en-us/answers/questions/2264994/request-always-going-to-second-server-in-load-bala,0,,Request always going to second server in load balancer,1,,,0
71,How to put multiple VMs behind a single private IP address on Azure?,https://learn.microsoft.com/en-us/answers/questions/1657120/how-to-put-multiple-vms-behind-a-single-private-ip,0,,How to put multiple VMs behind a single private IP address on Azure?,1,,,0
72,Best Minimal Setup to Simulate Load Balancing in Test Environment,https://learn.microsoft.com/en-us/answers/questions/2258277/best-minimal-setup-to-simulate-load-balancing-in-t,0,,Best Minimal Setup to Simulate Load Balancing in Test Environment,1,,,0
51,Basic SKU Load Balancer retirement,https://learn.microsoft.com/en-us/answers/questions/2247764/basic-sku-load-balancer-retirement,0,,Basic Load Balancer Migration,4,,,0
73,Why do I see down time required message when I am just validating the Azure Basic LB & not performing the actual Az Basic LB upgrade?,https://learn.microsoft.com/en-us/answers/questions/2223586/why-do-i-see-down-time-required-message-when-i-am,0,,Why do I see down time required message when I am just validating the Azure Basic LB & not performing the actual Az Basic LB upgrade?,1,,,0
74,I have created Cross over region Load balancer,https://learn.microsoft.com/en-us/answers/questions/2235861/i-have-created-cross-over-region-load-balancer,0,,I have created Cross over region Load balancer,1,,,0
75,"Updating Basic Public IP, Basic Load Balancer attached to Classic Cloud Service",https://learn.microsoft.com/en-us/answers/questions/2180567/updating-basic-public-ip-basic-load-balancer-attac,0,,"Updating Basic Public IP, Basic Load Balancer attached to Classic Cloud Service",1,,,0
76,Load balancer degraded health,https://learn.microsoft.com/en-us/answers/questions/2224765/load-balancer-degraded-health,0,,Load balancer degraded health,1,,,0
77,Metrics about Azure load balancer Standard,https://learn.microsoft.com/en-us/answers/questions/2225506/metrics-about-azure-load-balancer-standard,0,,about Azure load balancer redundancy.,2,,,0
78,Must the Gateway Load Balancer Frontend IP be in its own subnet?,https://learn.microsoft.com/en-us/answers/questions/2223990/must-the-gateway-load-balancer-frontend-ip-be-in-i,0,,Must the Gateway Load Balancer Frontend IP be in its own subnet?,1,,,0
79,explanation of this part - load balancer,https://learn.microsoft.com/en-us/answers/questions/2202875/explanation-of-this-part-load-balancer,0,,explanation of this part - load balancer,1,,,0
80,i have a connectivity issue with CDN,https://learn.microsoft.com/en-us/answers/questions/2200710/i-have-a-connectivity-issue-with-cdn,0,,i have a connectivity issue with CDN,1,,,0
81,Cannot connect to a https backend while a load test is running,https://learn.microsoft.com/en-us/answers/questions/2183528/cannot-connect-to-a-https-backend-while-a-load-tes,0,,Cannot connect to a https backend while a load test is running,1,,,0
82,Configure Azure to allow inbound traffic to only one port by IP address and the rest to domain name,https://learn.microsoft.com/en-us/answers/questions/2182633/configure-azure-to-allow-inbound-traffic-to-only-o,0,,Configure Azure to allow inbound traffic to only one port by IP address and the rest to domain name,1,,,0
83,Migrated to Standard Load Balancer - No Internet Access,https://learn.microsoft.com/en-us/answers/questions/2183555/migrated-to-standard-load-balancer-no-internet-acc,0,,Migrated to Standard Load Balancer - No Internet Access,1,,,0
84,I would like to know if there was a maintenance activity on one of my Azure Load Balancers at a certain time.,https://learn.microsoft.com/en-us/answers/questions/2169112/i-would-like-to-know-if-there-was-a-maintenance-ac,0,,I would like to know if there was a maintenance activity on one of my Azure Load Balancers at a certain time.,1,,,0
85,Azure Container App Load Balancer TCP RST messages,https://learn.microsoft.com/en-us/answers/questions/2156108/azure-container-app-load-balancer-tcp-rst-messages,0,,Azure Container App without Load Balancer,2,,,0
51,Azure Resource Mover - Basic Load Balancer,https://learn.microsoft.com/en-us/answers/questions/2168099/azure-resource-mover-basic-load-balancer,0,,Basic Load Balancer Migration,4,,,0
86,Public Load balancer Not Passing Traffic To Firewalls For Ports tcp8443 And tcp21,https://learn.microsoft.com/en-us/answers/questions/2156835/public-load-balancer-not-passing-traffic-to-firewa,0,,Public Load balancer Not Passing Traffic To Firewalls For Ports tcp8443 And tcp21,1,,,0
87,where is a azure loadbalancer's zone?,https://learn.microsoft.com/en-us/answers/questions/2167756/where-is-a-azure-loadbalancers-zone,0,,where is a azure loadbalancer's zone?,1,,,0
88,where is the zone of public load balancer,https://learn.microsoft.com/en-us/answers/questions/2167758/where-is-the-zone-of-public-load-balancer,0,,where is the zone of public load balancer,1,,,0
89,Loadbalancer fails to delete,https://learn.microsoft.com/en-us/answers/questions/2156793/loadbalancer-fails-to-delete,0,,Loadbalancer fails to delete,1,,,0
90,Traffic Forwarding from one VM to another VM in Azure,https://learn.microsoft.com/en-us/answers/questions/2155421/traffic-forwarding-from-one-vm-to-another-vm-in-az,0,,Traffic Forwarding from one VM to another VM in Azure,1,,,0
91,Load Balancer and Public IP Upgrade from Basic to Standard - With Fabric Cluster,https://learn.microsoft.com/en-us/answers/questions/2156140/load-balancer-and-public-ip-upgrade-from-basic-to,0,,Load Balancer and Public IP Upgrade from Basic to Standard - With Fabric Cluster,1,,,0
92,Basic LoadBalancer Upgrade - no outbound rule created,https://learn.microsoft.com/en-us/answers/questions/2155747/basic-loadbalancer-upgrade-no-outbound-rule-create,0,,Basic LoadBalancer Upgrade - no outbound rule created,1,,,0
93,Disable Cipher Suite in Server 2022 but still active,https://learn.microsoft.com/en-us/answers/questions/647189/disable-cipher-suite-in-server-2022-but-still-acti,0,,Disable Cipher Suite in Server 2022 but still active,1,,,0
94,How many public IP addresses can be attached to a FortiGate NVA deployed in Azure VWAN?,https://learn.microsoft.com/en-us/answers/questions/2154292/how-many-public-ip-addresses-can-be-attached-to-a,0,,How many public IP addresses can be attached to a FortiGate NVA deployed in Azure VWAN?,1,,,0
95,Action required: End of Support for Microsoft Azure Load Balancer property NumberOfProbes,https://learn.microsoft.com/en-us/answers/questions/2104921/action-required-end-of-support-for-microsoft-azure,0,,Action required: End of Support for Microsoft Azure Load Balancer property NumberOfProbes,1,,,0
96,Issue Creating Private Endpoint with Azure Application Gateway's Private Link Enabled,https://learn.microsoft.com/en-us/answers/questions/2152154/issue-creating-private-endpoint-with-azure-applica,0,,Issue Creating Private Endpoint with Azure Application Gateway's Private Link Enabled,1,,,0
97,Will a public load balancer with a public IPv4 address without an outbound rule have outbound connectivity once default outbound access goes away?,https://learn.microsoft.com/en-us/answers/questions/2150029/will-a-public-load-balancer-with-a-public-ipv4-add,0,,Will a public load balancer with a public IPv4 address without an outbound rule have outbound connectivity once default outbound access goes away?,1,,,0
98,IP Floating,https://learn.microsoft.com/en-us/answers/questions/2148225/ip-floating,0,,IP Floating,2,,,0
51,Basic Load Balancer Migration,https://learn.microsoft.com/en-us/answers/questions/2147420/basic-load-balancer-migration,0,,Basic Load Balancer Migration,4,,,0
99,Facing Issues with Mutual TLS Configuration for Specific Routes in Azure Application Gateway,https://learn.microsoft.com/en-us/answers/questions/2138845/facing-issues-with-mutual-tls-configuration-for-sp,0,,Facing Issues with Mutual TLS Configuration for Specific Routes in Azure Application Gateway,1,,,0
100,Best Approach to Block Incoming Traffic During Initial Cache Loading in Azure VMSS,https://learn.microsoft.com/en-us/answers/questions/2135531/best-approach-to-block-incoming-traffic-during-ini,0,,Best Approach to Block Incoming Traffic During Initial Cache Loading in Azure VMSS,1,,,0
101,'AzureBasicLoadBalancerUpgrade' module fails with null error,https://learn.microsoft.com/en-us/answers/questions/2139761/azurebasicloadbalancerupgrade-module-fails-with-nu,0,,'AzureBasicLoadBalancerUpgrade' module fails with null error,1,,,0
102,Need help on Azure LoadBalancer to extract frontend to backend servers mapping,https://learn.microsoft.com/en-us/answers/questions/2138726/need-help-on-azure-loadbalancer-to-extract-fronten,0,,Need help on Azure LoadBalancer to extract frontend to backend servers mapping,1,,,0
103,Connect to a service on an VM in backend-pool behind a load balancer through Private Link Service,https://learn.microsoft.com/en-us/answers/questions/2133900/connect-to-a-service-on-an-vm-in-backend-pool-behi,0,,Connect to a service on an VM in backend-pool behind a load balancer through Private Link Service,1,,,0
104,Deleting a Load Balancer and Public IP Address,https://learn.microsoft.com/en-us/answers/questions/2133550/deleting-a-load-balancer-and-public-ip-address,0,,Deleting a Load Balancer and Public IP Address,1,,,0
105,Azure LoadBalancer blocks a local vnet connections,https://learn.microsoft.com/en-us/answers/questions/2129678/azure-loadbalancer-blocks-a-local-vnet-connections,0,,Azure LoadBalancer blocks a local vnet connections,1,,,0
106,What happens to Basic Azure Load Balancers after September 2025?,https://learn.microsoft.com/en-us/answers/questions/2127424/what-happens-to-basic-azure-load-balancers-after-s,0,,What happens to Basic Azure Load Balancers after September 2025?,1,,,0
107,AKS public load balancer health probes and load balancing rules with a internal load balancer in use,https://learn.microsoft.com/en-us/answers/questions/1464735/aks-public-load-balancer-health-probes-and-load-ba,0,,AKS public load balancer health probes and load balancing rules with a internal load balancer in use,1,,,0
108,Can a backend pool VM connect to it's load balancer URL?,https://learn.microsoft.com/en-us/answers/questions/2122770/can-a-backend-pool-vm-connect-to-its-load-balancer,0,,Can a backend pool VM connect to it's load balancer URL?,1,,,0
109,Load Balancer Behavior and Inbound Port Rules in Azure,https://learn.microsoft.com/en-us/answers/questions/2124905/load-balancer-behavior-and-inbound-port-rules-in-a,0,,Load Balancer Behavior and Inbound Port Rules in Azure,1,,,0
110,Do i need azure VM for azure load balancer,https://learn.microsoft.com/en-us/answers/questions/2123611/do-i-need-azure-vm-for-azure-load-balancer,0,,Do i need azure VM for azure load balancer,1,,,0
111,Increase Application Gateway Load balancer gateway timeout,https://learn.microsoft.com/en-us/answers/questions/2087406/increase-application-gateway-load-balancer-gateway,0,,Increase Application Gateway Load balancer gateway timeout,1,,,0
112,Failed to add NIC in Load Balancer due to DifferentSkuLoadBalancersAndPublicIPAddressNotAllowed error,https://learn.microsoft.com/en-us/answers/questions/1327698/failed-to-add-nic-in-load-balancer-due-to-differen,0,,Failed to add NIC in Load Balancer due to DifferentSkuLoadBalancersAndPublicIPAddressNotAllowed error,1,,,0
113,Missing connectivity behind by a Load Balancer,https://learn.microsoft.com/en-us/answers/questions/2119162/missing-connectivity-behind-by-a-load-balancer,0,,Missing connectivity behind by a Load Balancer,1,,,0
114,Troubleshooting Bad Requests Through a Private Endpoint Connected to a Load Balancer,https://learn.microsoft.com/en-us/answers/questions/2120456/troubleshooting-bad-requests-through-a-private-end,0,,Troubleshooting Bad Requests Through a Private Endpoint Connected to a Load Balancer,1,,,0
115,"How can I configure an Azure Load Balancer to route traffic based on URL path?""",https://learn.microsoft.com/en-us/answers/questions/2120820/how-can-i-configure-an-azure-load-balancer-to-rout,0,,"How can I configure an Azure Load Balancer to route traffic based on URL path?""",1,,,0
35,Load balancer upgrade from Basic to Standard SKU,https://learn.microsoft.com/en-us/answers/questions/2118357/load-balancer-upgrade-from-basic-to-standard-sku,0,,Upgrade to Standard SKU public IP address,2,,,0
116,Unable to delete Public IP address & virtual network subnet due to linkage with resource I can't access,https://learn.microsoft.com/en-us/answers/questions/2115316/unable-to-delete-public-ip-address-virtual-network,0,,Unable to delete Public IP address & virtual network subnet due to linkage with resource I can't access,1,,,0
117,NetworkingInternalOperationError on new VM w/Load Balancer,https://learn.microsoft.com/en-us/answers/questions/2113391/networkinginternaloperationerror-on-new-vm-w-load,0,,NetworkingInternalOperationError on new VM w/Load Balancer,1,,,0
118,how to monitor azure internal load balancer correctly balancing the traffic between VM,https://learn.microsoft.com/en-us/answers/questions/2115668/how-to-monitor-azure-internal-load-balancer-correc,0,,how to monitor azure internal load balancer correctly balancing the traffic between VM,1,,,0
119,"This is regarding the service health related to ""Upgrade to Azure Standard Load Balancer by 30 September 2025""",https://learn.microsoft.com/en-us/answers/questions/2116728/this-is-regarding-the-service-health-related-to-up,0,,"This is regarding the service health related to ""Upgrade to Azure Standard Load Balancer by 30 September 2025""",1,,,0
120,"The azure loadbalancer health probe shows a warning, how to get rid of the warning.",https://learn.microsoft.com/en-us/answers/questions/2113381/the-azure-loadbalancer-health-probe-shows-a-warnin,0,,"The azure loadbalancer health probe shows a warning, how to get rid of the warning.",1,,,0
121,courses#badges,https://learn.microsoft.com/en-us/answers/questions/2113373/courses-badges,0,,courses#badges,1,,,0
122,Upgrade basic load balancer without deleting Basic LB,https://learn.microsoft.com/en-us/answers/questions/2112487/upgrade-basic-load-balancer-without-deleting-basic,0,,Upgrade basic load balancer without deleting Basic LB,1,,,0
