id,anti_pattern,category,description,agent_instruction,bad_example,good_example,source_basis
11,Symmetrical list padding,Structure,"Padding list items to achieve visual symmetry — making every bullet roughly the same length even when the underlying content doesn't warrant it. Results in watered-down items where some bullets are artificially inflated with filler.","Each list item should be as long as it needs to be and no longer. Do not add qualifying phrases, examples, or context to short items just to match the length of longer ones. If one item is a single word and another is two sentences, that is fine. Cut padding phrases: 'which is important because,' 'as mentioned above,' 'this can help you,' 'in order to ensure that.'","• Use descriptive variable names to make your code easier to read and maintain over time\n• Add comments\n• Test your code to ensure it works correctly before deploying to production","• Use descriptive variable names\n• Add comments\n• Test before deploying","Microsoft Writing Style Guide — Lists; plain language concision"
12,Second-person inconsistency,Voice,"Mixing address modes within a document: shifting between 'you,' 'the user,' 'one,' 'developers,' and 'users' without a clear system. AI systems often slip into third-person ('the user can...') when second-person ('you can...') is both clearer and more direct.","Default to second person ('you,' 'your') for procedural and instructional content throughout. Only shift to third person when describing a distinct actor who is not the reader (e.g., 'the API returns...' 'the server sends...'). Audit for 'the user,' 'users,' 'one,' and 'developers' used where 'you' would work. Replace them.","Users should ensure they configure their settings before the developer runs the script.","Configure your settings before running the script.","Microsoft Writing Style Guide — Second-person address; voice consistency"
13,Buzzword stacking,Vocabulary,"Clustering marketing-adjacent adjectives with no specific meaning: 'innovative, cutting-edge, state-of-the-art solutions'; 'powerful, flexible, scalable platform'; 'seamless, intuitive, user-friendly interface'.","Remove all stacked adjectives that are not measurable or verifiable. Allowed adjectives: those that describe a specific, testable property ('three-tier,' '99.9% uptime,' 'sub-100ms latency'). Banned: innovative, cutting-edge, state-of-the-art, powerful, robust (see #3), seamless, intuitive (unless followed by evidence), best-in-class, world-class, next-generation, future-proof.","This innovative, cutting-edge platform provides a seamless, intuitive experience for all users.","This platform processes requests in under 100ms and requires no configuration to get started.","Microsoft Writing Style Guide — Avoid puffery; Nate B. Jones — substance over hype principle"
14,Capitalization of common nouns,Formatting,"AI systems incorrectly capitalize common nouns when used in a domain context, as if they are proper nouns: 'the System,' 'the Team,' 'the Project,' 'the Solution,' 'the Platform,' 'the User.'","Capitalize only: proper nouns (specific named products, services, people, organizations), UI elements as labeled in the interface, and terms defined as capitalized by a product's official documentation. Do not capitalize: generic role names (user, admin, developer), generic concepts (system, platform, solution, workflow), or a noun just because it's important to the document.","The System Administrator must configure the Platform before the Users can access the Solution.","The system administrator must configure the platform before users can access it.","Microsoft Writing Style Guide — Capitalization"
15,Summary restatement,Structure,"Ending sections or documents by restating what was just covered: 'In summary, we covered X, Y, and Z.' 'To recap, we learned that...' 'As we've seen...' 'This section showed us that...' These closings treat readers as if they have forgotten what they just read.","Do not end sections with summaries unless the content is a reference document longer than 1,500 words where scanning is the expected use pattern. For shorter content, let the last substantive point serve as the close. Delete any sentence starting with: 'In summary,' 'To recap,' 'As we've seen,' 'As shown above,' 'This section covered,' 'We've now learned.'","In summary, we've covered how to authenticate, make requests, and handle errors. As we've seen, these are the core skills for working with this API.","Error handling is the last piece. With authentication, requests, and error handling in place, you're ready to build on top of this API.","Microsoft Writing Style Guide — Concision; plain language"
16,Hollow call to action,Tone,"Ending responses or sections with empty engagement prompts: 'Let me know if you have any questions!' 'Feel free to reach out!' 'Don't hesitate to ask!' 'I hope this helps!' These phrases are social performance, not content.","Delete these endings entirely: 'Let me know if you have any questions,' 'Feel free to ask,' 'Don't hesitate to reach out,' 'I hope this helps,' 'I hope that answers your question,' 'Is there anything else I can help with?' End on the last substantive sentence. If a genuine next step exists, state it specifically: 'Run the test suite to verify' not 'Let me know if you need help.'","I hope this explanation was helpful! Let me know if you have any questions or need further clarification.","Run the test suite after applying these changes to verify the fix.","Microsoft Writing Style Guide — Endings; write-like-michael SKILL.md — 'Never close with let me know your thoughts'"
17,Please note overuse,Tone,"Overusing 'Please note that,' 'Note:,' or 'Important:' callouts for routine information that doesn't warrant special attention. When everything is important, nothing is.","Reserve 'Note:' for genuinely exceptional information that interrupts the expected flow — a specific version requirement, a destructive action, a known breaking change. Do not use it for standard caveats, general best practices, or information the reader would expect. Audit: if removing 'Please note that' from a sentence leaves it intact and meaningful, delete the phrase.","Please note that you will need to have Python installed. Please note that the file path is case-sensitive.","Python must be installed. File paths are case-sensitive.","Microsoft Writing Style Guide — Notes and cautions; plain language"
18,Vague intensifiers,Clarity,"Using intensifiers that add no measurable information: very, really, quite, rather, somewhat, fairly, pretty, extremely, incredibly, highly. These words inflate sentences without adding specificity.","Do a find-and-replace pass for: very, really, quite, rather, somewhat, fairly, pretty, extremely, incredibly, highly. For each instance: delete the intensifier and see if the sentence is stronger (usually yes), or replace with a specific qualifier ('takes 3 seconds' not 'is quite slow'; 'handles 10,000 requests/sec' not 'is very fast').","This is a really quite important concept that is incredibly useful in extremely complex scenarios.","This concept is essential in high-concurrency scenarios.","Microsoft Writing Style Guide — Word choice; plain language standards"
19,Landscape opener,Cliché,"Opening a document or section with a statement about the current state of the world or industry: 'In today's rapidly evolving landscape,' 'In the fast-paced world of,' 'As AI continues to transform,' 'In an era of rapid change.' These openers are ubiquitous in AI-generated content and signal nothing.","Never open a document, section, or response with a statement about the current state of an industry or era. Start with the specific topic, a concrete problem, a direct claim, or an actionable statement. Flag and delete any opening sentence containing: 'landscape,' 'era,' 'world of,' 'age of,' 'rapidly evolving,' 'fast-paced,' 'in today's.'","In today's rapidly evolving AI landscape, organizations must adapt to stay competitive.","RAG lets you connect a language model to your own data without retraining it.","Mollick (One Useful Thing) — AI writing pattern analysis; Simon Willison practitioner writing standards"
20,Redundant pairs,Concision,"Using two words that mean the same thing: 'each and every,' 'first and foremost,' 'full and complete,' 'true and accurate,' 'various and sundry,' 'null and void,' 'cease and desist,' 'over and above.'","Reduce every redundant pair to its single strongest word: each and every → each or every; first and foremost → first; full and complete → complete; true and accurate → accurate; above and beyond → beyond. Audit output for paired synonyms joined by 'and' and select the stronger single term.","Each and every developer should first and foremost ensure their code is full and complete.","Every developer should ensure their code is complete.","Microsoft Writing Style Guide — Concision; plain language"
21,False balance construction,Reasoning,"Presenting artificially balanced 'on one hand / on the other hand' framing when there is a clear correct answer or when the tradeoffs are not equal. AI systems default to false balance to appear objective.","Before using balanced framing, determine whether a clear answer exists. If it does, state it directly. Use balanced framing only when tradeoffs are genuinely context-dependent and the reader must make the call. Never use 'on one hand... on the other hand' as a structural default. If recommending a path, name it: 'Use X for Y. Use Z only when...'","On one hand, you could use approach A. On the other hand, approach B is also an option.","Use approach A for most cases. Switch to B only when you need offline support.","Microsoft Writing Style Guide — Decisive language; Chip Huyen (AI Engineering) — clarity in technical recommendation"
22,Qualification stacking,Clarity,"Piling multiple qualifiers onto a single claim until it becomes meaningless: 'In most cases, it is generally often advisable to typically prefer...' Each qualifier is defensible individually, but stacked together they drain the claim of all content.","A claim may carry one qualifier when genuine uncertainty exists. Two or more qualifiers on the same claim is almost always a sign of hedging for safety rather than precision. Rewrite: identify the most important qualifier, keep it, delete the rest. If a claim cannot be made with one qualifier, either research it further or state the uncertainty explicitly.","In most cases, it is generally often recommended to typically prefer the async approach where possible.","Prefer async by default. Switch to sync only in CLI scripts or test fixtures where an event loop isn't running.","Microsoft Writing Style Guide — Plain language; Mollick — AI hedging patterns"
23,Generic filler examples,Specificity,"Using placeholder examples that demonstrate nothing: 'For example, a user named John might...' 'Consider a company called Acme Corp...' 'Imagine you have a variable called myVariable.' These examples waste the reader's attention and could be replaced with real, useful context.","Use specific, realistic examples that map to the reader's actual domain. The example should teach by being concrete, not just by being structurally present. Avoid: placeholder names (John, Jane, Acme), generic variable names (foo, bar, myVariable, example), and hypotheticals that don't reflect real usage. Draw examples from the document's own stated context.","For example, a user named John might want to search for a part called Widget_A.","To find a specific part: SELECT * FROM parts WHERE part_number = 'FRC-2024-DRIVE-01';","Microsoft Writing Style Guide — Examples; practitioner writing standards"
24,Numbered lists for non-sequential content,Structure,"Using numbered lists when the items have no inherent order or when order doesn't matter. Numbered lists imply sequence. Using them for non-sequential content misleads readers into thinking order is significant.","Use numbered lists only for: sequential steps where order is mandatory, ranked items where rank is meaningful, items that will be referenced by number later in the document. For all other lists, use bullets. Audit every numbered list: if you can reorder the items without loss of meaning, convert to bullets.","There are 3 key benefits:\n1. Improved performance\n2. Better security\n3. Easier maintenance","Three benefits: improved performance, better security, and easier maintenance.","Microsoft Writing Style Guide — Lists"
25,Title case overuse,Formatting,"Applying title case to headings, labels, or UI references inconsistently or excessively, including capitalizing prepositions, articles, and conjunctions in contexts where sentence case is correct. Also: capitalizing abstract concepts for apparent importance.","Microsoft style uses sentence case for most headings and titles (capitalize first word and proper nouns only). Apply title case only where explicitly required by the product's own UI labels. Do not capitalize: section headings in most documents, abstract concepts (security, performance, reliability), job role descriptions used generically.","## Best Practices For Building A Secure And Reliable API Integration Layer","## Best practices for building a secure API integration","Microsoft Writing Style Guide — Capitalization and headings"
26,Apology filler,Tone,"Apologizing unnecessarily or pre-emptively in technical writing: 'I apologize for any confusion,' 'Sorry if this is unclear,' 'Unfortunately, I cannot...' 'I'm afraid that...' Apology language introduces doubt and weakens authority without providing information.","Remove apology and regret framing: 'I apologize,' 'Sorry,' 'Unfortunately' (as a hedge), 'I'm afraid,' 'I regret to inform.' Replace with direct statements. If a limitation exists, state it factually: not 'Unfortunately, this feature isn't available' but 'This feature is not available in the Basic tier.'","I apologize for any confusion this may cause. Unfortunately, this approach doesn't work in all scenarios.","This approach works only when the connection pool size exceeds 10.","Microsoft Writing Style Guide — Confident voice; plain language"
27,This is a complex topic stall,Clarity,"Using 'This is a complex topic' or variants as a preface before explaining something. It signals that the writer does not have a clear organizing principle and is warning the reader in advance. It also condescends by implying the reader may not be able to follow.","Never preface an explanation with a statement about the topic's complexity. If the content is genuinely complex, structure it to manage that complexity (stages, prerequisites, examples). Delete any sentence matching: 'This is a complex topic,' 'This can be complicated,' 'There's a lot to unpack here,' 'This is nuanced,' 'This requires some background.'","This is a complex topic with many nuances. There's a lot to unpack here, so let's start from the beginning.","Embeddings work by mapping text to a fixed-length vector of numbers where similar meaning produces similar vectors.","Microsoft Writing Style Guide — Clarity; Chip Huyen (AI Engineering) — technical explanation standards"
28,Passive agent omission,Clarity,"Using passive constructions specifically to omit the responsible agent, especially in error messages, warnings, and compliance language: 'An error was encountered,' 'Data may be lost,' 'This must be configured' — without identifying who or what does the encountering, losing, or configuring.","In error messages, warnings, and procedural instructions, name the actor. Passive is acceptable when the actor is genuinely unknown. It is not acceptable as a way to avoid naming a system, a role, or a step. Rewrite: 'An error was encountered' → 'The API returned error 429'; 'Data may be lost' → 'Closing without saving discards your changes'; 'This must be configured' → 'An admin must configure this before first use.'","An error was encountered and some data may have been lost during the process.","The sync operation failed with error 503. Unsaved changes were discarded.","Microsoft Writing Style Guide — Active voice; technical documentation standards"
29,Overly nested parentheticals,Readability,"Embedding multiple parenthetical asides within a sentence: 'The function (which is called asynchronously (using async/await)) returns a promise (a JavaScript construct for deferred values) that resolves to the result.' Nesting degrades comprehension and signals failure to plan sentence structure.","Allow at most one parenthetical per sentence. If a concept requires explanation, give it its own sentence or a footnote. Audit for nested parentheses — any sentence with two or more sets of parentheses must be restructured. Also audit for em-dash pairs enclosing asides within sentences that already have commas.","The cache (which stores results temporarily (up to 5 minutes by default)) reduces load on the database (your primary data store).","The cache stores results for up to 5 minutes by default, which reduces database load.","Microsoft Writing Style Guide — Sentence construction; readability"
30,Symmetrical conclusion inflation,Structure,"Padding the conclusion or final section of a document to match the weight of earlier sections, resulting in inflated summaries, restatements of the introduction, or invented 'next steps' that don't reflect real follow-on actions.","A conclusion should be as short as the content demands — which is often one to three sentences or nothing at all. It must not restate the introduction or summarize the body. It may: point to one concrete next step, state the decision or recommendation clearly, or end on the most important single idea. Delete any concluding section that does not add new information or a genuine forward pointer.","In conclusion, we have covered the key concepts discussed in this guide. As we have seen, these principles are important for building effective systems. We hope you found this information useful and can apply it to your projects going forward.","Run the evaluation suite against your first production dataset. That's where the real calibration work begins.","Microsoft Writing Style Guide — Document endings; Nate B. Jones — substance-first writing principle"
