group_id,question,question_summary,group_count,sample_url
10,Standard Load Balancer throttling outbound response throughput to ~25 KB/s for external clients (East US 2),How do I standard Load Balancer throttling outbound response throughput to ~25 KB/s for external clients (East US 2)?,1,https://learn.microsoft.com/en-us/answers/questions/5764193/standard-load-balancer-throttling-outbound-respons
11,How to delete a left over load balancer in Azure?,How to delete a left over load balancer in Azure?,1,https://learn.microsoft.com/en-us/answers/questions/5749149/how-to-delete-a-left-over-load-balancer-in-azure
12,Virtual machine server published with custom ports is not reachable from internet,How do I virtual machine server published with custom ports is not reachable from internet?,1,https://learn.microsoft.com/en-us/answers/questions/5762996/virtual-machine-server-published-with-custom-ports
13,Azure Load Balancer: SourceIP Session Persistence Not Working Across Multiple Ports for FTP Passive Mode,How do I resolve: Azure Load Balancer: SourceIP Session Persistence Not Working Across Multiple Ports for FTP Passive Mode?,1,https://learn.microsoft.com/en-us/answers/questions/5767220/azure-load-balancer-sourceip-session-persistence-n
15,"VM is working, health check is Ok but getting 502 on the URL, there are 4 VMs only 1 is working fine.","How do I resolve: VM is working, health check is Ok but getting 502 on the URL, there are 4 VMs only 1 is working fine?",1,https://learn.microsoft.com/en-us/answers/questions/5747830/vm-is-working-health-check-is-ok-but-getting-502-o
17,Unable to update the Public IP on NAT rules for an existing LoadBalancer,How do I resolve: Unable to update the Public IP on NAT rules for an existing LoadBalancer?,1,https://learn.microsoft.com/en-us/answers/questions/5701980/unable-to-update-the-public-ip-on-nat-rules-for-an
18,Urgent need to delete the resource group that is generating costs,How do I urgent need to delete the resource group that is generating costs?,1,https://learn.microsoft.com/en-us/answers/questions/5653955/urgent-need-to-delete-the-resource-group-that-is-g
19,How can I preserve or use the Azure Internal Load Balancer frontend IP for outbound or return traffic from its backend VMs ?,How can I preserve or use the Azure Internal Load Balancer frontend IP for outbound or return traffic from its backend VMs?,1,https://learn.microsoft.com/en-us/answers/questions/5641324/how-can-i-preserve-or-use-the-azure-internal-load
20,Failed to distribute content to CMG from SCCM,How do I resolve: Failed to distribute content to CMG from SCCM?,1,https://learn.microsoft.com/en-us/answers/questions/5646241/failed-to-distribute-content-to-cmg-from-sccm
22,APIM not able to connect to Load Balancer even though they all are on the Public IP,How do I aPIM not able to connect to Load Balancer even though they all are on the Public IP?,1,https://learn.microsoft.com/en-us/answers/questions/5625747/apim-not-able-to-connect-to-load-balancer-even-tho
23,Range of ports to be open,What is Range of ports to be open?,1,https://learn.microsoft.com/en-us/answers/questions/5571809/range-of-ports-to-be-open
24,Load balancer status is Degraded (Unplanned),What is Load balancer status is Degraded (Unplanned)?,1,https://learn.microsoft.com/en-us/answers/questions/5615824/load-balancer-status-is-degraded-(unplanned)
25,Azure load balancer & F5 load balancer are same ?,Azure load balancer & F5 load balancer are same ?,1,https://learn.microsoft.com/en-us/answers/questions/5592520/azure-load-balancer-f5-load-balancer-are-same
26,Taffic flow through public Load balancer,What is Taffic flow through public Load balancer?,1,https://learn.microsoft.com/en-us/answers/questions/5583249/taffic-flow-through-public-load-balancer
27,"Azure LoadBalancer port 443 timing out for YARP service, while 8080 and /health endpoint work fine","How do I azure LoadBalancer port 443 timing out for YARP service, while 8080 and /health endpoint work fine?",1,https://learn.microsoft.com/en-us/answers/questions/5583046/azure-loadbalancer-port-443-timing-out-for-yarp-se
28,Azure Public load balancer packet forwarding to NVA or performing any kind of Source NAT or D-NAT,How do I azure Public load balancer packet forwarding to NVA or performing any kind of Source NAT or D-NAT?,1,https://learn.microsoft.com/en-us/answers/questions/5516122/azure-public-load-balancer-packet-forwarding-to-nv
29,Azure Basic Load Balancer will be retired on 30 September 2025âupgrade to Standard Load Balancer,How do I azure Basic Load Balancer will be retired on 30 September 2025âupgrade to Standard Load Balancer?,1,https://learn.microsoft.com/en-us/answers/questions/5570252/azure-basic-load-balancer-will-be-retired-on-30-se
30,need to upgrade the load balancer from Basic SKU to Standard SKU in azure portal kindly share me the steps to do it,How do I need to upgrade the load balancer from Basic SKU to Standard SKU in azure portal kindly share me the steps to do it?,1,https://learn.microsoft.com/en-us/answers/questions/5564987/need-to-upgrade-the-load-balancer-from-basic-sku-t
31,How to recover failed upgrade of basic LBs with shared backend pools,How to recover failed upgrade of basic LBs with shared backend pools?,1,https://learn.microsoft.com/en-us/answers/questions/5570342/how-to-recover-failed-upgrade-of-basic-lbs-with-sh
32,Azure ADDS Inbound NAT Rule upgrade in Load Balancer,How do I azure ADDS Inbound NAT Rule upgrade in Load Balancer?,1,https://learn.microsoft.com/en-us/answers/questions/5569650/azure-adds-inbound-nat-rule-upgrade-in-load-balanc
33,Extend Basic Load Balancer by one week,What is Extend Basic Load Balancer by one week?,1,https://learn.microsoft.com/en-us/answers/questions/5569356/extend-basic-load-balancer-by-one-week
34,Basic SKU Load balancers and Public IP address associated with VM,How do I basic SKU Load balancers and Public IP address associated with VM?,1,https://learn.microsoft.com/en-us/answers/questions/5565363/basic-sku-load-balancers-and-public-ip-address-ass
36,Upgrading Basic Loadbalancers with VMs with and without PIP,How do I upgrading Basic Loadbalancers with VMs with and without PIP?,1,https://learn.microsoft.com/en-us/answers/questions/5565783/upgrading-basic-loadbalancers-with-vms-with-and-wi
37,Redirect incomming traffic on Azure LB and F5 Big IP,How do I redirect incomming traffic on Azure LB and F5 Big IP?,1,https://learn.microsoft.com/en-us/answers/questions/5558252/redirect-incomming-traffic-on-azure-lb-and-f5-big
39,"Please upgrade the Azure public IP addresses from Basic SKU to Standard SKU by September 30, 2025","How do I please upgrade the Azure public IP addresses from Basic SKU to Standard SKU by September 30, 2025?",1,https://learn.microsoft.com/en-us/answers/questions/5552664/please-upgrade-the-azure-public-ip-addresses-from
40,At what scope/s Network Contributor Role is needed to add backend vms to a Load Balancer,How do I at what scope/s Network Contributor Role is needed to add backend vms to a Load Balancer?,1,https://learn.microsoft.com/en-us/answers/questions/1338687/at-what-scope-s-network-contributor-role-is-needed
41,How to fix this health probe should send 200 OK result in LB backend health status,How to fix this health probe should send 200 OK result in LB backend health status?,1,https://learn.microsoft.com/en-us/answers/questions/5541014/how-to-fix-this-health-probe-should-send-200-ok-re
42,Basic SKU IP Address for classic load balancer migration process,How do I basic SKU IP Address for classic load balancer migration process?,1,https://learn.microsoft.com/en-us/answers/questions/5534323/basic-sku-ip-address-for-classic-load-balancer-mig
43,How to access both VM and blob storage account securely without using Public IPs from the internet,How to access both VM and blob storage account securely without using Public IPs from the internet?,1,https://learn.microsoft.com/en-us/answers/questions/1685009/how-to-access-both-vm-and-blob-storage-account-sec
45,Impact of Basic Load Balancer and Public IP Retirement,How do I impact of Basic Load Balancer and Public IP Retirement?,1,https://learn.microsoft.com/en-us/answers/questions/5531006/impact-of-basic-load-balancer-and-public-ip-retire
46,will my Azure load balancer on basic sku stop working on 09/30/2025,will my Azure load balancer on basic sku stop working on 09/30/2025?,1,https://learn.microsoft.com/en-us/answers/questions/5524624/will-my-azure-load-balancer-on-basic-sku-stop-work
47,Azure Load Balancer not following outbound rules,What is Azure Load Balancer not following outbound rules?,1,https://learn.microsoft.com/en-us/answers/questions/5521593/azure-load-balancer-not-following-outbound-rules
48,Azure Public Load Balancer to Private Container Apps via UDP MQTT protocol,How do I azure Public Load Balancer to Private Container Apps via UDP MQTT protocol?,1,https://learn.microsoft.com/en-us/answers/questions/5523249/azure-public-load-balancer-to-private-container-ap
49,Firewall NAT 1:1 for inbound and outbound,What is Firewall NAT 1:1 for inbound and outbound?,1,https://learn.microsoft.com/en-us/answers/questions/5520920/firewall-nat-1-1-for-inbound-and-outbound
50,AKS public LB NSG rule: can we restrict to LB IP? Why do we need a broad manual allow?,AKS public LB NSG rule: can we restrict to LB IP? Why do we need a broad manual allow?,1,https://learn.microsoft.com/en-us/answers/questions/5523876/aks-public-lb-nsg-rule-can-we-restrict-to-lb-ip-wh
53,Outbound traffic via GWLB,What is Outbound traffic via GWLB?,1,https://learn.microsoft.com/en-us/answers/questions/5516235/outbound-traffic-via-gwlb
54,About AzureLB Deployment,What is About AzureLB Deployment?,1,https://learn.microsoft.com/en-us/answers/questions/5508268/about-azurelb-deployment
55,can not delete load balancer.,can not delete load balancer?,1,https://learn.microsoft.com/en-us/answers/questions/5512478/can-not-delete-load-balancer
56,ACI not supported by Azure Load Balancer in the backend Pool,How do I aCI not supported by Azure Load Balancer in the backend Pool?,1,https://learn.microsoft.com/en-us/answers/questions/5495725/aci-not-supported-by-azure-load-balancer-in-the-ba
57,Problem with LB upon upgrade to Standard from Basic,How do I resolve: Problem with LB upon upgrade to Standard from Basic?,1,https://learn.microsoft.com/en-us/answers/questions/5508615/problem-with-lb-upon-upgrade-to-standard-from-basi
58,How to configure and troubleshoot Azure load balancer,How to configure and troubleshoot Azure load balancer?,1,https://learn.microsoft.com/en-us/answers/questions/4377236/how-to-configure-and-troubleshoot-azure-load-balan
59,Firewall and Load Balancer using a GWLB (2 NVAs),How do I firewall and Load Balancer using a GWLB (2 NVAs)?,1,https://learn.microsoft.com/en-us/answers/questions/4761754/firewall-and-load-balancer-using-a-gwlb-(2-nvas)
60,Cannot access my services after upgrade from basic to standard load balancer via PowerShell,How do I resolve: Cannot access my services after upgrade from basic to standard load balancer via PowerShell?,1,https://learn.microsoft.com/en-us/answers/questions/5489013/cannot-access-my-services-after-upgrade-from-basic
61,Azure Public LB traffic flow,What is Azure Public LB traffic flow?,1,https://learn.microsoft.com/en-us/answers/questions/2287668/azure-public-lb-traffic-flow
62,What is the recommended load balancing strategy for Azure Container Apps handling image-based workflows with regional failover?,What is the recommended load balancing strategy for Azure Container Apps handling image-based workflows with regional failover?,1,https://learn.microsoft.com/en-us/answers/questions/2282777/what-is-the-recommended-load-balancing-strategy-fo
63,Can I add VMs in Standard Availability Set to the backend pool of the Load Balancer in Basic SKU,Can I add VMs in Standard Availability Set to the backend pool of the Load Balancer in Basic SKU?,1,https://learn.microsoft.com/en-us/answers/questions/2284346/can-i-add-vms-in-standard-availability-set-to-the
64,Best Load Balancer Option for Container Apps with Autoscaling,How do I best Load Balancer Option for Container Apps with Autoscaling?,1,https://learn.microsoft.com/en-us/answers/questions/2239077/best-load-balancer-option-for-container-apps-with
65,Azure Load Balancer Set traffic priority for VM1,How do I azure Load Balancer Set traffic priority for VM1?,1,https://learn.microsoft.com/en-us/answers/questions/2280730/azure-load-balancer-set-traffic-priority-for-vm1
66,Basic SKU load balancer migration backout plan,What is Basic SKU load balancer migration backout plan?,1,https://learn.microsoft.com/en-us/answers/questions/2281518/basic-sku-load-balancer-migration-backout-plan
67,How can I Integrate Azure Firewall with Azure Standard Load Balancer for Enhanced Security and Traffic Visibility,How can I Integrate Azure Firewall with Azure Standard Load Balancer for Enhanced Security and Traffic Visibility?,1,https://learn.microsoft.com/en-us/answers/questions/2277885/how-can-i-integrate-azure-firewall-with-azure-stan
68,Upgrade existing LCS / D365 machines to Standard Public IP SKUs,How do I upgrade existing LCS / D365 machines to Standard Public IP SKUs?,1,https://learn.microsoft.com/en-us/answers/questions/2265441/upgrade-existing-lcs-d365-machines-to-standard-pub
69,Replacing public IP with hostname for sites which configured using load balancer,How do I replacing public IP with hostname for sites which configured using load balancer?,1,https://learn.microsoft.com/en-us/answers/questions/2275707/replacing-public-ip-with-hostname-for-sites-which
70,Request always going to second server in load balancer,How do I request always going to second server in load balancer?,1,https://learn.microsoft.com/en-us/answers/questions/2264994/request-always-going-to-second-server-in-load-bala
71,How to put multiple VMs behind a single private IP address on Azure?,How to put multiple VMs behind a single private IP address on Azure?,1,https://learn.microsoft.com/en-us/answers/questions/1657120/how-to-put-multiple-vms-behind-a-single-private-ip
72,Best Minimal Setup to Simulate Load Balancing in Test Environment,How do I best Minimal Setup to Simulate Load Balancing in Test Environment?,1,https://learn.microsoft.com/en-us/answers/questions/2258277/best-minimal-setup-to-simulate-load-balancing-in-t
73,Why do I see down time required message when I am just validating the Azure Basic LB & not performing the actual Az Basic LB upgrade?,Why do I see down time required message when I am just validating the Azure Basic LB & not performing the actual Az Basic LB upgrade?,1,https://learn.microsoft.com/en-us/answers/questions/2223586/why-do-i-see-down-time-required-message-when-i-am
74,I have created Cross over region Load balancer,How do I i have created Cross over region Load balancer?,1,https://learn.microsoft.com/en-us/answers/questions/2235861/i-have-created-cross-over-region-load-balancer
75,"Updating Basic Public IP, Basic Load Balancer attached to Classic Cloud Service","How do I updating Basic Public IP, Basic Load Balancer attached to Classic Cloud Service?",1,https://learn.microsoft.com/en-us/answers/questions/2180567/updating-basic-public-ip-basic-load-balancer-attac
76,Load balancer degraded health,What is Load balancer degraded health?,1,https://learn.microsoft.com/en-us/answers/questions/2224765/load-balancer-degraded-health
78,Must the Gateway Load Balancer Frontend IP be in its own subnet?,Must the Gateway Load Balancer Frontend IP be in its own subnet?,1,https://learn.microsoft.com/en-us/answers/questions/2223990/must-the-gateway-load-balancer-frontend-ip-be-in-i
79,explanation of this part - load balancer,What is explanation of this part - load balancer?,1,https://learn.microsoft.com/en-us/answers/questions/2202875/explanation-of-this-part-load-balancer
80,i have a connectivity issue with CDN,How do I resolve: i have a connectivity issue with CDN?,1,https://learn.microsoft.com/en-us/answers/questions/2200710/i-have-a-connectivity-issue-with-cdn
81,Cannot connect to a https backend while a load test is running,How do I resolve: Cannot connect to a https backend while a load test is running?,1,https://learn.microsoft.com/en-us/answers/questions/2183528/cannot-connect-to-a-https-backend-while-a-load-tes
82,Configure Azure to allow inbound traffic to only one port by IP address and the rest to domain name,How do I configure Azure to allow inbound traffic to only one port by IP address and the rest to domain name?,1,https://learn.microsoft.com/en-us/answers/questions/2182633/configure-azure-to-allow-inbound-traffic-to-only-o
83,Migrated to Standard Load Balancer - No Internet Access,How do I migrated to Standard Load Balancer - No Internet Access?,1,https://learn.microsoft.com/en-us/answers/questions/2183555/migrated-to-standard-load-balancer-no-internet-acc
84,I would like to know if there was a maintenance activity on one of my Azure Load Balancers at a certain time.,How do I i would like to know if there was a maintenance activity on one of my Azure Load Balancers at a certain time?,1,https://learn.microsoft.com/en-us/answers/questions/2169112/i-would-like-to-know-if-there-was-a-maintenance-ac
86,Public Load balancer Not Passing Traffic To Firewalls For Ports tcp8443 And tcp21,How do I public Load balancer Not Passing Traffic To Firewalls For Ports tcp8443 And tcp21?,1,https://learn.microsoft.com/en-us/answers/questions/2156835/public-load-balancer-not-passing-traffic-to-firewa
87,where is a azure loadbalancer's zone?,where is a azure loadbalancer's zone?,1,https://learn.microsoft.com/en-us/answers/questions/2167756/where-is-a-azure-loadbalancers-zone
88,where is the zone of public load balancer,where is the zone of public load balancer?,1,https://learn.microsoft.com/en-us/answers/questions/2167758/where-is-the-zone-of-public-load-balancer
89,Loadbalancer fails to delete,How do I resolve: Loadbalancer fails to delete?,1,https://learn.microsoft.com/en-us/answers/questions/2156793/loadbalancer-fails-to-delete
90,Traffic Forwarding from one VM to another VM in Azure,How do I traffic Forwarding from one VM to another VM in Azure?,1,https://learn.microsoft.com/en-us/answers/questions/2155421/traffic-forwarding-from-one-vm-to-another-vm-in-az
91,Load Balancer and Public IP Upgrade from Basic to Standard - With Fabric Cluster,How do I load Balancer and Public IP Upgrade from Basic to Standard - With Fabric Cluster?,1,https://learn.microsoft.com/en-us/answers/questions/2156140/load-balancer-and-public-ip-upgrade-from-basic-to
92,Basic LoadBalancer Upgrade - no outbound rule created,How do I basic LoadBalancer Upgrade - no outbound rule created?,1,https://learn.microsoft.com/en-us/answers/questions/2155747/basic-loadbalancer-upgrade-no-outbound-rule-create
93,Disable Cipher Suite in Server 2022 but still active,How do I disable Cipher Suite in Server 2022 but still active?,1,https://learn.microsoft.com/en-us/answers/questions/647189/disable-cipher-suite-in-server-2022-but-still-acti
94,How many public IP addresses can be attached to a FortiGate NVA deployed in Azure VWAN?,How many public IP addresses can be attached to a FortiGate NVA deployed in Azure VWAN?,1,https://learn.microsoft.com/en-us/answers/questions/2154292/how-many-public-ip-addresses-can-be-attached-to-a
95,Action required: End of Support for Microsoft Azure Load Balancer property NumberOfProbes,How do I action required: End of Support for Microsoft Azure Load Balancer property NumberOfProbes?,1,https://learn.microsoft.com/en-us/answers/questions/2104921/action-required-end-of-support-for-microsoft-azure
96,Issue Creating Private Endpoint with Azure Application Gateway's Private Link Enabled,How do I resolve: Issue Creating Private Endpoint with Azure Application Gateway's Private Link Enabled?,1,https://learn.microsoft.com/en-us/answers/questions/2152154/issue-creating-private-endpoint-with-azure-applica
97,Will a public load balancer with a public IPv4 address without an outbound rule have outbound connectivity once default outbound access goes away?,Will a public load balancer with a public IPv4 address without an outbound rule have outbound connectivity once default outbound access goes away?,1,https://learn.microsoft.com/en-us/answers/questions/2150029/will-a-public-load-balancer-with-a-public-ipv4-add
99,Facing Issues with Mutual TLS Configuration for Specific Routes in Azure Application Gateway,How do I resolve: Facing Issues with Mutual TLS Configuration for Specific Routes in Azure Application Gateway?,1,https://learn.microsoft.com/en-us/answers/questions/2138845/facing-issues-with-mutual-tls-configuration-for-sp
100,Best Approach to Block Incoming Traffic During Initial Cache Loading in Azure VMSS,How do I best Approach to Block Incoming Traffic During Initial Cache Loading in Azure VMSS?,1,https://learn.microsoft.com/en-us/answers/questions/2135531/best-approach-to-block-incoming-traffic-during-ini
101,'AzureBasicLoadBalancerUpgrade' module fails with null error,How do I resolve: 'AzureBasicLoadBalancerUpgrade' module fails with null error?,1,https://learn.microsoft.com/en-us/answers/questions/2139761/azurebasicloadbalancerupgrade-module-fails-with-nu
102,Need help on Azure LoadBalancer to extract frontend to backend servers mapping,How do I need help on Azure LoadBalancer to extract frontend to backend servers mapping?,1,https://learn.microsoft.com/en-us/answers/questions/2138726/need-help-on-azure-loadbalancer-to-extract-fronten
103,Connect to a service on an VM in backend-pool behind a load balancer through Private Link Service,How do I connect to a service on an VM in backend-pool behind a load balancer through Private Link Service?,1,https://learn.microsoft.com/en-us/answers/questions/2133900/connect-to-a-service-on-an-vm-in-backend-pool-behi
104,Deleting a Load Balancer and Public IP Address,How do I deleting a Load Balancer and Public IP Address?,1,https://learn.microsoft.com/en-us/answers/questions/2133550/deleting-a-load-balancer-and-public-ip-address
105,Azure LoadBalancer blocks a local vnet connections,What is Azure LoadBalancer blocks a local vnet connections?,1,https://learn.microsoft.com/en-us/answers/questions/2129678/azure-loadbalancer-blocks-a-local-vnet-connections
106,What happens to Basic Azure Load Balancers after September 2025?,What happens to Basic Azure Load Balancers after September 2025?,1,https://learn.microsoft.com/en-us/answers/questions/2127424/what-happens-to-basic-azure-load-balancers-after-s
107,AKS public load balancer health probes and load balancing rules with a internal load balancer in use,How do I aKS public load balancer health probes and load balancing rules with a internal load balancer in use?,1,https://learn.microsoft.com/en-us/answers/questions/1464735/aks-public-load-balancer-health-probes-and-load-ba
108,Can a backend pool VM connect to it's load balancer URL?,Can a backend pool VM connect to it's load balancer URL?,1,https://learn.microsoft.com/en-us/answers/questions/2122770/can-a-backend-pool-vm-connect-to-its-load-balancer
109,Load Balancer Behavior and Inbound Port Rules in Azure,How do I load Balancer Behavior and Inbound Port Rules in Azure?,1,https://learn.microsoft.com/en-us/answers/questions/2124905/load-balancer-behavior-and-inbound-port-rules-in-a
110,Do i need azure VM for azure load balancer,Do i need azure VM for azure load balancer?,1,https://learn.microsoft.com/en-us/answers/questions/2123611/do-i-need-azure-vm-for-azure-load-balancer
111,Increase Application Gateway Load balancer gateway timeout,How do I resolve: Increase Application Gateway Load balancer gateway timeout?,1,https://learn.microsoft.com/en-us/answers/questions/2087406/increase-application-gateway-load-balancer-gateway
112,Failed to add NIC in Load Balancer due to DifferentSkuLoadBalancersAndPublicIPAddressNotAllowed error,How do I resolve: Failed to add NIC in Load Balancer due to DifferentSkuLoadBalancersAndPublicIPAddressNotAllowed error?,1,https://learn.microsoft.com/en-us/answers/questions/1327698/failed-to-add-nic-in-load-balancer-due-to-differen
113,Missing connectivity behind by a Load Balancer,What is Missing connectivity behind by a Load Balancer?,1,https://learn.microsoft.com/en-us/answers/questions/2119162/missing-connectivity-behind-by-a-load-balancer
114,Troubleshooting Bad Requests Through a Private Endpoint Connected to a Load Balancer,How do I troubleshooting Bad Requests Through a Private Endpoint Connected to a Load Balancer?,1,https://learn.microsoft.com/en-us/answers/questions/2120456/troubleshooting-bad-requests-through-a-private-end
115,"How can I configure an Azure Load Balancer to route traffic based on URL path?""","How can I configure an Azure Load Balancer to route traffic based on URL path?""?",1,https://learn.microsoft.com/en-us/answers/questions/2120820/how-can-i-configure-an-azure-load-balancer-to-rout
116,Unable to delete Public IP address & virtual network subnet due to linkage with resource I can't access,How do I resolve: Unable to delete Public IP address & virtual network subnet due to linkage with resource I can't access?,1,https://learn.microsoft.com/en-us/answers/questions/2115316/unable-to-delete-public-ip-address-virtual-network
117,NetworkingInternalOperationError on new VM w/Load Balancer,How do I resolve: NetworkingInternalOperationError on new VM w/Load Balancer?,1,https://learn.microsoft.com/en-us/answers/questions/2113391/networkinginternaloperationerror-on-new-vm-w-load
118,how to monitor azure internal load balancer correctly balancing the traffic between VM,how to monitor azure internal load balancer correctly balancing the traffic between VM?,1,https://learn.microsoft.com/en-us/answers/questions/2115668/how-to-monitor-azure-internal-load-balancer-correc
119,"This is regarding the service health related to ""Upgrade to Azure Standard Load Balancer by 30 September 2025""","How do I this is regarding the service health related to ""Upgrade to Azure Standard Load Balancer by 30 September 2025""?",1,https://learn.microsoft.com/en-us/answers/questions/2116728/this-is-regarding-the-service-health-related-to-up
120,"The azure loadbalancer health probe shows a warning, how to get rid of the warning.","How do I the azure loadbalancer health probe shows a warning, how to get rid of the warning?",1,https://learn.microsoft.com/en-us/answers/questions/2113381/the-azure-loadbalancer-health-probe-shows-a-warnin
121,courses#badges,What is courses#badges?,1,https://learn.microsoft.com/en-us/answers/questions/2113373/courses-badges
