Question,Source,Type,Confidence,Notes
How do I migrated to Standard Load Balancer - No Internet Access?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I i would like to know if there was a maintenance activity on one of my Azure Load Balancers at a certain time?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I public Load balancer Not Passing Traffic To Firewalls For Ports tcp8443 And tcp21?,Community,Procedural,Medium,Microsoft Q&A group_count=1
where is a azure loadbalancer's zone?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
where is the zone of public load balancer?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I resolve: Loadbalancer fails to delete?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
How do I traffic Forwarding from one VM to another VM in Azure?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I load Balancer and Public IP Upgrade from Basic to Standard - With Fabric Cluster?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I basic LoadBalancer Upgrade - no outbound rule created?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I disable Cipher Suite in Server 2022 but still active?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How many public IP addresses can be attached to a FortiGate NVA deployed in Azure VWAN?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I action required: End of Support for Microsoft Azure Load Balancer property NumberOfProbes?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I resolve: Issue Creating Private Endpoint with Azure Application Gateway's Private Link Enabled?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
Will a public load balancer with a public IPv4 address without an outbound rule have outbound connectivity once default outbound access goes away?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I resolve: Facing Issues with Mutual TLS Configuration for Specific Routes in Azure Application Gateway?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
How do I best Approach to Block Incoming Traffic During Initial Cache Loading in Azure VMSS?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I resolve: 'AzureBasicLoadBalancerUpgrade' module fails with null error?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
How do I need help on Azure LoadBalancer to extract frontend to backend servers mapping?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I connect to a service on an VM in backend-pool behind a load balancer through Private Link Service?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I deleting a Load Balancer and Public IP Address?,Community,Procedural,Medium,Microsoft Q&A group_count=1
What is Azure LoadBalancer blocks a local vnet connections?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
What happens to Basic Azure Load Balancers after September 2025?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I aKS public load balancer health probes and load balancing rules with a internal load balancer in use?,Community,Procedural,Medium,Microsoft Q&A group_count=1
Can a backend pool VM connect to it's load balancer URL?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I load Balancer Behavior and Inbound Port Rules in Azure?,Community,Procedural,Medium,Microsoft Q&A group_count=1
Do i need azure VM for azure load balancer?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I resolve: Increase Application Gateway Load balancer gateway timeout?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
How do I resolve: Failed to add NIC in Load Balancer due to DifferentSkuLoadBalancersAndPublicIPAddressNotAllowed error?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
What is Missing connectivity behind by a Load Balancer?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I troubleshooting Bad Requests Through a Private Endpoint Connected to a Load Balancer?,Community,Procedural,Medium,Microsoft Q&A group_count=1
"How can I configure an Azure Load Balancer to route traffic based on URL path?""?",Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I resolve: Unable to delete Public IP address & virtual network subnet due to linkage with resource I can't access?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I resolve: NetworkingInternalOperationError on new VM w/Load Balancer?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
how to monitor azure internal load balancer correctly balancing the traffic between VM?,Community,Procedural,Medium,Microsoft Q&A group_count=1
"How do I this is regarding the service health related to ""Upgrade to Azure Standard Load Balancer by 30 September 2025""?",Community,Procedural,Medium,Microsoft Q&A group_count=1
"How do I the azure loadbalancer health probe shows a warning, how to get rid of the warning?",Community,Procedural,Medium,Microsoft Q&A group_count=1
What is courses#badges?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I upgrade basic load balancer without deleting Basic LB?,Community,Procedural,Medium,Microsoft Q&A group_count=1
Error 'VM is another Availability set' when trying to add new standalone VM in the backed pool of external LB which already has a standalone VM?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
How do I vM Scale Sets Behind Load Balancer Not Reachable?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I any costs to a Standard Load Balancer if the VMs are shutting down?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I retirement notice: Azure Load Balancer Inbound NAT rule V1 for Azure VMs and Azure VMSS will be retired?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I tell me more about NumberOfProbes in Azure Load Balancer?,Community,Procedural,Medium,Microsoft Q&A group_count=1
What is Application Gateway VS Azure Front Door?,Community,Decision-making,Medium,Microsoft Q&A group_count=1
How to decommission an old Root CA and Issuing CA after the new ones are already in live?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I resolve: Unable to delete Loadbalancer beceause it is being used by an already deleted VMSS?,Community,Procedural,Medium,Microsoft Q&A group_count=1
"How do I hello, working on exposing am internal load balancer through an app gw v2. My listener continues to default to the wrong certificate, so when I open the host name on the browser it depicts the wrong certificate?",Community,Procedural,Medium,Microsoft Q&A group_count=1
Can the Azure Load Balancer utilize the x-forwarded-for header?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I going with the application gateway in fornt of azure firewall does it lose the benefit of l7 load balancing?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I resolve: Unable to send a SIP request from SBC via express route?,Community,Procedural,Medium,Microsoft Q&A group_count=1
Does Azure loadbalancer support proxy protocol?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I internal Load Balancing solutions for Azure Cross region environment?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I azure Application Gateway to AKS internal load balancer using native Kubernetes NGINX controller?,Community,Procedural,Medium,Microsoft Q&A group_count=1
does load balancer probes over TCP probe sends any data?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
What is Inefficient load balancing from NATed network?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I azure Internal Load Balancer is not distributing the load evenly?,Community,Procedural,Medium,Microsoft Q&A group_count=1
What is Load balancer Intermittent connection?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
Does Azure server allow spoofing source IP of UDP packet?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I azure Load Balancer Won't Pass Traffic to VM?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I palo VM firewall drop packets behind Azure load balancer?,Community,Procedural,Medium,Microsoft Q&A group_count=1
how to fix if internal load balancer suddently went for degraded state on Azure?,Community,Procedural,Medium,Microsoft Q&A group_count=1
What is High latency on Application Gateway?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I resolve: Azure load balancer to NVA asymmetric traffic issue?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
How to update Load Balancer Backend pool Nic in batch?,Community,Procedural,Medium,Microsoft Q&A group_count=1
What is Data path availabilitymetric missing?,Community,Fact-finding,Medium,Microsoft Q&A group_count=1
When should I have multiple backend pools for a load balancer?,Community,Decision-making,Medium,Microsoft Q&A group_count=1
How do I resolve: Cannot delete a Public IP that has no resources associated with?,Community,Procedural,Medium,Microsoft Q&A group_count=1
"How do I since we ahve primary data center (DC) is already connected to Azure via ExpressRoute, options for connecting your on-premises DR datacenter to Azure?",Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I load Balancing of requests coming from a single client?,Community,Procedural,Medium,Microsoft Q&A group_count=1
Does NSG apply to load balancer frontend IP?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I azure LoadBalancer ( ILB / PLB ) Flow Log?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I resolve: Azure Loadbalancer Failover Sessions not handed over?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
How do I resolve: Unable to connect to Azure App (fqdn) using Cloud Flare to resolve the hostname using a NGINX to resolve the access to Application?,Community,Procedural,Medium,Microsoft Q&A group_count=1
What Authentication solution would you suggest in this scenario?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
Why ALB (App Gateway V2) with affinity session enabled won't work with NTLM?,Community,Procedural,Medium,Microsoft Q&A group_count=1
Does a public load balancer on Azure enforce any limits regarding big traffic spikes?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I resolve: Change Public IP of Cloud Service Extended support from Dynamic to static Fails?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
How do I resolve: Azure Load Balancer Session Handover not working?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
How do I paraameterising the looad balancer for backend pool in the azure?,Community,Procedural,Medium,Microsoft Q&A group_count=1
What is delete aks Loadbalancer not possible?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
Can Basic Load Balancer be updated by arm template after 31 March 2025?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I resolve: Azure Data Factory - Pipeline always fails at the second connection to On-Premise data source?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
What is FortiGate with public IP?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I test outbound connectivity through all ips in an aks loadbalancer outbound rule?,Community,Procedural,Medium,Microsoft Q&A group_count=1
Will changing the idle time value (default 4 minutes) on the ELB impact existing sessions?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
What is Azure InterfaceEndpoint Routes Bypassing Palo Alto Firewall?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
"To add a backend pool and health probe to loadbalancer, which role is needed?",Community,Procedural,Medium,Microsoft Q&A group_count=1
Is assigning a static public IP address only possible on initial deployment of Cloud Service (Extended Support)?,Community,Procedural,Medium,Microsoft Q&A group_count=1
Does azure load balancer support websockets?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I resolve: I am setting up an application using kubernetes pod and creating and Internal Loadbalancer service. When I try to access the application using service I am not facing any issue but when I use front door I am facing intermittent 404 issue?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
What is Azure Load Balancer?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I rest API returns empty response for GlobalBackendAvailability indicators?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I connect load balancer to container instance inside a vertual network?,Community,Procedural,Medium,Microsoft Q&A group_count=1
"Insights of Load Balancer passive endpoint is Unhealthy, is it normal?",Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I alternative to Application Gateway allowing backend pool SSL certificates to be ignored?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I virtual Servers are unreachable if associated Gateway Load Balancer backend has no healthy NVAs?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I zone replication of a VM - how to configure?,Community,Procedural,Medium,Microsoft Q&A group_count=1
What is Internal Load Balancer allowing internet traffic?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
"How can I configure a standard Load Balancer that has two Linux Machine behind it in the backend pool, such that traffic only goes to node B when node A is down?",Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I seeing the Current active connections per backend endpoint on Load Balancer?,Community,Procedural,Medium,Microsoft Q&A group_count=1
Is it possible to inject a custom request header in the request header of my service using Application Gateway Rewrites?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
What is circular dependency?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I loadbalancer health alerts not raising even after reach Threshold limit?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I azure  Gateway Loadbalancer support East-to-West traffic inspection with third party NAV?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How to upgrade Integrated Basic Load balancer in Service Fabric?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I two VM's network interfaces added to two load balancer backend pools?,Community,Procedural,Medium,Microsoft Q&A group_count=1
"How do I resolve: Azure powershell Error: GenericArguments[0], 'Microsoft.Azure.Management.Compute.Models.VirtualMachine', on 'T MaxInteger[T](System.Collections.Generic.IEnumerable`1[T])' violates the constraint of type 'T'?",Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
Which service to use for dynamically rotating IP-Addresses?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I resolve: Having issue with SSL certificate configuration?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
Where does Azure Firewall send TCP RST packets during Virtual Machine Scale Set scale in (scale down)?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
Why I need to create a rule for 443 for NSG to load balancer?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I resolve: Deployment template validation failed: 'Circular dependency detected'?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
What is Byte Count metrics clarification on private LB?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How to do VNet peering's among the multiple  S2S VPN connection?,Community,Procedural,Medium,Microsoft Q&A group_count=1
Azure Load Balancer Floating IP option - why do packets at backend guest show as translated?,Community,Fact-finding,Medium,Microsoft Q&A group_count=1
Prevent SNAT port exhaustion in AKS standard load balancer?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I az Powershell add VMs to a backend pool?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I loadbalancer alerts not rasing in Azure alerts portal?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I hA coTURN stack setup or ACS in Azure?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I resolve: mTLS with Azure Load Balancer not working?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
How to add a load balancer on an azure container app?,Community,Procedural,Medium,Microsoft Q&A group_count=1
Does Azure Load balancer supports the FTPS (All TCP ports) traffic?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I azure Network Security Group don't Apply to an Internal Load Balancer?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I connection reset by azure every 80k bytes received?,Community,Procedural,Medium,Microsoft Q&A group_count=1
Is it possible to simulate Zone Outage?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
What is Uptime per proposed HA-Solution?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
What is Internet access for Load Balancer?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I resolve: External Load Balancer - Single Point of Failure?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
How do I public IP Address linked to load balancer I didn't create?,Community,Procedural,Medium,Microsoft Q&A group_count=1
Basic load balancer vs Standard load balancer?,Community,Decision-making,Medium,Microsoft Q&A group_count=1
How do I i have an internal Load balancer and I want to reach the front end IP from a S2S VPN tunnel?,Community,Procedural,Medium,Microsoft Q&A group_count=1
"How do I azure application Gateway, Load balancer, palo alto, Azure red hat openshift?",Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I vitual Network drop-down not showing vnets list quickly in load balancer backend pool section?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How to enable cloud service exended support  load balancing rule Session persistence?,Community,Procedural,Medium,Microsoft Q&A group_count=1
"How do I resolve: error :The frontend, protocol and port combination you entered matches another rule used by this load balancer. The frontend, protocol and port combination of each load balancing rule and inbound NAT rule on a load balancer must be unique?",Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
How do I resolve: Unable to connect to public IP address on Load Balancer?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I i'm trying to route traffic from a kubernetes cluster through a fortigate firewall?,Community,Procedural,Medium,Microsoft Q&A group_count=1
Remove a node from a backend pool using the adminState property ?,Community,Procedural,Medium,Microsoft Q&A group_count=1
Why Azure create Load balancer while Creating AKS cluster?,Community,Procedural,Medium,Microsoft Q&A group_count=1
Can NVA be placed behind Azure load balancer and Load balancer Frontend IP can be used to exchange bgp routes?,Community,Procedural,Medium,Microsoft Q&A group_count=1
"How do I can't access Frontend IP of load balancer externally and diagnostics says ports 80,30025,and40025 are being blocked but no block is in place?",Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I need help in setting up Public SIP trunk traffic to Azure?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How to shutdown or suspend standard load balancer when not in use?,Community,Procedural,Medium,Microsoft Q&A group_count=1
Would it be possible to use a load balancer for multiple Form Recognizers?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
What is Connectivity for App to reduce NW delay?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
What is Disaster recovery strategy for application gateway/load balancer?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
Can we monitor the load balancer is functioning?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
If I remove a vm (that is currently off) will the load balancer keep working sending all traffic to the other server?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I i am not able to connect to the web admin page of my palo alto NVA from outside of Azure?,Community,Procedural,Medium,Microsoft Q&A group_count=1
"How do I public Load Balancer, Network Security Group, filter by source IP does not work?",Community,Procedural,Medium,Microsoft Q&A group_count=1
What is Active / Passive with Azure Load Balancer?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
